Datetime,Open,High,Low,Close,Volume
2026-01-26 09:30:00-05:00,251.47999572753906,251.49380493164062,249.8699951171875,249.8699951171875,1773985
2026-01-26 09:31:00-05:00,249.91000366210938,250.85000610351562,249.8000030517578,250.80499267578125,336614
2026-01-26 09:32:00-05:00,250.77999877929688,251.17999267578125,250.55999755859375,250.71600341796875,227929
2026-01-26 09:33:00-05:00,250.67999267578125,251.61000061035156,250.67999267578125,251.4261932373047,216095
2026-01-26 09:34:00-05:00,251.4250030517578,251.8800048828125,251.13999938964844,251.18499755859375,179961
2026-01-26 09:35:00-05:00,251.19500732421875,251.64999389648438,250.75,250.83999633789062,182269
2026-01-26 09:36:00-05:00,250.8350067138672,251.47999572753906,250.625,251.3300018310547,147846
2026-01-26 09:37:00-05:00,251.33999633789062,251.625,250.8000030517578,251.4199981689453,116073
2026-01-26 09:38:00-05:00,251.52000427246094,251.97999572753906,251.35000610351562,251.88999938964844,204228
2026-01-26 09:39:00-05:00,251.875,252.72999572753906,251.875,252.63479614257812,278517
2026-01-26 09:40:00-05:00,252.6300048828125,252.8000030517578,252.14999389648438,252.47999572753906,249133
2026-01-26 09:41:00-05:00,252.49000549316406,252.85000610351562,252.38999938964844,252.55999755859375,268022
2026-01-26 09:42:00-05:00,252.54010009765625,252.60000610351562,251.9499969482422,252.5500030517578,168108
2026-01-26 09:43:00-05:00,252.55999755859375,253.25,252.52499389648438,253.24000549316406,268064
2026-01-26 09:44:00-05:00,253.24000549316406,253.25,252.5749969482422,252.7100067138672,134518
2026-01-26 09:45:00-05:00,252.72999572753906,253.19000244140625,252.72999572753906,253.1300048828125,118746
2026-01-26 09:46:00-05:00,253.11500549316406,253.13009643554688,252.41000366210938,252.47999572753906,199133
2026-01-26 09:47:00-05:00,252.5050048828125,252.99989318847656,252.41000366210938,252.9199981689453,93266
2026-01-26 09:48:00-05:00,252.92999267578125,253.00999450683594,252.8300018310547,252.9550018310547,101920
2026-01-26 09:49:00-05:00,252.97000122070312,252.97000122070312,252.6699981689453,252.8350067138672,101656
2026-01-26 09:50:00-05:00,252.89999389648438,252.89999389648438,252.55999755859375,252.64999389648438,92980
2026-01-26 09:51:00-05:00,252.63499450683594,252.63499450683594,252.27000427246094,252.45860290527344,89305
2026-01-26 09:52:00-05:00,252.44500732421875,252.99000549316406,252.3699951171875,252.97000122070312,82689
2026-01-26 09:53:00-05:00,253.0,253.17999267578125,252.7899932861328,253.17999267578125,99485
2026-01-26 09:54:00-05:00,253.1699981689453,253.2100067138672,252.97000122070312,253.0,53534
